COMP;CO_IBGE;CNES;CO_TIPO_UNIDADE;MOTIVO_DESABILITACAO;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS
202606;412490;2753936;05;;17;17;0;0
202606;412500;5412293;05;;22;22;0;0
202606;412510;2686813;05;;25;25;0;0
202606;412535;2665352;05;;24;24;0;0
202606;412540;2781824;05;;18;18;0;0
202606;412545;4056264;05;;22;19;0;0
202606;412550;2753278;05;;133;133;20;20
202606;412550;3073300;05;;64;0;0;0
202606;412560;2549751;05;;50;38;0;0
202606;412570;0462799;05;;160;111;20;0
202606;412570;6657885;05;;30;30;0;0
202606;412580;2573466;05;;26;24;0;0
202606;412600;2577240;15;;8;8;0;0
202606;412620;2582597;05;;31;31;0;0
202606;412625;2825589;05;;221;159;52;40
202606;412640;2577445;05;;23;23;0;0
202606;412650;2729563;05;;16;16;0;0
202606;412660;2783797;05;;54;35;0;0
202606;412667;2729520;05;;16;16;0;0
202606;412670;2753901;05;;15;15;0;0
202606;412700;2557185;05;;5;5;0;0
202606;412710;2740435;05;;138;108;12;10
202606;412710;7442157;05;;110;100;10;0
202606;412710;9760318;05;;54;16;10;0
202606;412720;2334755;05;;34;32;0;0
202606;412720;2567466;05;;32;32;0;0
202606;412730;2753804;05;;33;31;0;0
202606;412750;2740567;05;;16;16;0;0
202606;412760;0019194;05;;19;19;0;0
202606;412770;2809532;05;;97;0;0;0
202606;412770;2809990;05;;32;0;0;0
202606;412770;4056752;05;;212;140;37;30
202606;412770;4330919;05;;69;59;10;0
202606;412770;7781237;05;;8;0;7;0
202606;412770;8149607;07;;1;0;0;0
202606;412780;4057058;05;;57;51;0;0
202606;412785;2738201;05;;34;34;0;0
202606;412788;0019208;15;;6;6;0;0
202606;412790;2783819;05;;19;19;0;0
202606;412796;2741962;05;;49;49;0;0
202606;412800;2733633;05;;55;51;0;0
202606;412800;3024571;05;;51;0;0;0
202606;412810;2594358;07;;156;150;0;0
202606;412810;2594366;05;;123;86;19;13
202606;412810;2679736;05;;129;89;30;30
202606;412810;3005011;05;;127;93;26;22
202606;412810;7845138;05;;240;183;20;14
202606;412820;2568292;07;;126;33;0;0
202606;412820;2568349;05;;70;56;10;9
202606;412820;2568373;05;;110;61;23;16
202606;412840;2582066;05;;31;31;0;0
202606;412850;3134423;05;;52;51;0;0
202606;412855;2573032;05;;27;26;0;0
202606;412860;2586096;05;;21;20;0;0
202606;412863;2681579;15;;4;4;0;0
202607;410045;2733528;05;;19;19;0;0
202607;410050;2781700;05;;39;39;0;0
202607;410060;2753995;05;;20;19;0;0
202607;410080;2729393;05;;16;16;0;0
202607;410090;2753820;05;;14;14;0;0
202607;410100;5621674;05;;35;34;0;0
202607;410110;2582554;05;;62;57;0;0
202607;410120;2680971;05;;32;32;0;0
202607;410130;2537044;15;;2;2;0;0
202607;410140;2439263;05;;135;69;12;12
202607;410140;2439360;05;;186;152;30;28
202607;410140;4820150;05;;50;50;0;0
202607;410150;2576198;05;;106;81;16;5
202607;410150;2576341;05;;395;339;104;75
202607;410150;5911354;05;;62;51;0;0
202607;410160;2687011;05;;44;44;0;0
202607;410170;0109258;05;;26;26;0;0
202607;410180;5995280;05;;83;83;18;18
202607;410190;2577283;05;;38;38;0;0
202607;410190;2582538;05;;11;0;0;0
202607;410200;4051165;05;;62;61;10;10
202607;410200;4051181;05;;27;19;0;0
202607;410210;2733579;05;;102;94;0;0
202607;410230;0013579;15;;8;8;0;0
202607;410240;2577410;05;;92;81;12;10
202607;410240;2577429;05;;37;0;0;0
202607;410250;3587010;05;;1;1;0;0
202607;410280;2729547;05;;17;17;0;0
202607;410290;2549263;05;;43;43;0;0
202607;410305;6326269;05;;16;16;0;0
202607;410310;2681498;05;;9;9;0;0
202607;410320;2571714;05;;29;29;0;0
202607;410330;2573423;05;;27;27;0;0
202607;410345;4068106;05;;51;51;0;0
202607;410360;3134563;05;;24;24;0;0
202607;410360;4051513;05;;61;55;0;0
202607;410370;2729539;05;;37;10;0;0
202607;410370;2730650;05;;102;85;10;10
202607;410390;2733285;05;;36;28;0;0
202607;410400;0013633;05;;582;466;163;86
202607;410420;0013838;05;;106;86;46;28
202607;410420;0013846;05;;890;838;386;365
202607;410420;0014001;07;;48;48;0;0
202607;410420;5603145;05;;158;141;80;75
202607;410420;6426204;05;;130;130;40;40
202607;410430;0014109;05;;156;143;32;28
202607;410430;0014125;05;;105;71;20;10
202607;410430;9578986;05;;28;0;0;0
202607;410440;2587785;05;;31;31;0;0
202607;410442;2742020;05;;41;39;0;0
202607;410450;2586061;05;;39;29;0;0
202607;410460;2571811;05;;35;33;0;0
202607;410470;2877112;05;;50;50;0;0
202607;410480;2737078;15;;1;1;0;0
202607;410480;2737434;07;;223;203;6;5
202607;410480;2738090;07;;3;2;0;0
202607;410480;2738309;05;;217;114;40;17
202607;410480;2738368;05;;374;368;61;55
202607;410480;2738384;07;;5;2;0;0
202607;410480;2738899;05;;133;0;29;0
202607;410480;2740338;07;;137;91;10;8
202607;410480;3014509;05;;60;0;6;0
202607;410480;3165019;05;;29;0;0;0
202607;410480;3196488;07;;15;0;0;0
202607;410480;3196712;07;;5;0;0;0
202607;410480;3677214;07;;10;0;0;0
202607;410480;3751678;15;;1;1;0;0
202607;410480;7611986;07;;5;0;0;0
202607;410480;9232966;07;;5;5;0;0
202607;410480;9543767;05;;60;60;10;10
202607;410490;2683210;05;;156;119;10;9
202607;410510;2729466;05;;25;25;0;0
202607;410520;2767678;05;;17;17;0;0
202607;410530;2572192;05;;35;33;0;0
202607;410540;7039344;05;;87;80;10;10
202607;410550;2733676;05;;70;48;10;8
202607;410550;2735989;05;;101;82;10;8
202607;410560;2733188;05;;18;18;0;0
202607;410570;2738120;05;;56;50;0;0
202607;410580;0907367;05;;1;0;0;0
202607;410580;2753332;07;;40;37;0;0
202607;410580;4419782;07;;2;2;0;0
202607;410590;2733307;05;;121;95;20;15
202607;410600;2582430;15;;1;1;0;0
202607;410610;2781727;05;;20;20;0;0
202607;410620;0015180;05;;16;16;0;0
202607;410630;2738279;05;;34;33;0;0
202607;410640;2577380;05;;64;60;10;10
202607;410640;2582449;05;;146;104;23;14
202607;410640;4369831;05;;112;60;20;0
202607;410640;6355099;05;;36;0;5;0
202607;410650;2595125;05;;51;51;0;0
202607;410660;2737531;05;;32;32;0;0
202607;410670;2753812;05;;11;11;0;0
202607;410680;2549328;05;;37;37;0;0
202607;410690;0015245;05;;493;440;93;82
202607;410690;0015318;05;;264;11;61;3
202607;410690;0015334;05;;488;367;78;48
202607;410690;0015369;05;;334;324;70;60
202607;410690;0015407;05;;206;206;29;29
202607;410690;0015415;05;;42;42;0;0
202607;410690;0015423;05;;162;60;28;14
202607;410690;0015563;07;;361;230;68;46
202607;410690;0015601;05;;50;50;0;0
202607;410690;0015636;07;;31;31;0;0
202607;410690;0015644;07;;250;180;31;24
202607;410690;0015660;05;;4;0;0;0
202607;410690;0015717;07;;64;0;10;0
202607;410690;0015806;07;;125;0;0;0
202607;410690;0015962;05;;58;0;8;0
202607;410690;0016209;07;;11;4;0;0
202607;410690;0016365;07;;335;110;0;0
202607;410690;0016462;05;;49;49;0;0
202607;410690;2384272;07;;40;19;0;0
202607;410690;2384299;05;;447;447;62;62
202607;410690;2715864;05;;161;151;20;10
202607;410690;3000850;05;;104;0;36;0
202607;410690;3000869;05;;148;0;60;0
202607;410690;3000877;07;;48;0;7;0
202607;410690;3000885;05;;129;0;1;0
202607;410690;3000907;07;;108;0;16;0
202607;410690;3005585;05;;26;0;7;0
202607;410690;3005593;05;;93;0;0;0
202607;410690;3012042;07;;4;0;0;0
202607;410690;3021238;05;;49;0;0;0
202607;410690;3033910;07;;21;0;0;0
202607;410690;3046524;07;;1;0;0;0
202607;410690;3059200;07;;85;0;0;0
202607;410690;3063216;05;;40;0;10;0
202607;410690;3068870;05;;75;0;0;0
202607;410690;3075516;05;;131;66;22;8
202607;410690;3087727;07;;3;0;0;0
202607;410690;3117626;05;;29;0;0;0
202607;410690;3140156;07;;9;0;0;0
202607;410690;3160408;05;;86;0;31;0
202607;410690;3199371;07;;10;0;0;0
202607;410690;3371980;05;;90;0;35;0
202607;410690;3971465;05;;36;0;10;0
202607;410690;4259181;07;;4;0;0;0
202607;410690;5064554;05;;13;0;0;0
202607;410690;5247993;05;;10;0;0;0
202607;410690;5310350;05;;55;33;4;0
202607;410690;6388671;05;;169;169;30;30
202607;410690;6593267;05;;16;0;0;0
202607;410690;6878318;05;;188;4;60;0
202607;410690;7180799;05;;14;0;0;0
202607;410690;7413432;05;;54;49;0;0
202607;410690;7457081;05;;16;0;0;0
202607;410690;8044325;05;;26;24;2;0
202607;410690;8439435;07;;60;0;0;0
202607;410690;9084940;07;;12;12;0;0
202607;410690;9356312;05;;18;0;0;0
202607;410690;9571493;05;;45;0;0;0
202607;410690;9582800;05;;89;0;10;0
202607;410690;9907939;05;;79;69;0;0
202607;410700;3024628;05;;19;16;0;0
202607;410710;2753871;05;;19;19;0;0
202607;410720;5232511;05;;52;50;0;0
202607;410750;2735962;05;;38;34;0;0
202607;410753;4052536;05;;10;8;0;0
202607;410760;0887854;05;;30;30;0;0
202607;410765;0017574;05;;84;84;0;0
202607;410775;4052617;05;;31;31;0;0
202607;410790;2733196;05;;24;24;0;0
202607;410800;2729490;05;;22;22;0;0
202607;410820;2572370;05;;45;44;0;0
202607;410830;2591049;05;;175;86;40;21
202607;410830;2593912;05;;139;0;8;0
202607;410830;2673800;05;;41;0;7;0
202607;410830;4388380;05;;60;60;0;0
202607;410830;5061989;05;;218;218;40;40
202607;410840;2666723;05;;68;0;4;0
202607;410840;2666731;05;;40;22;10;10
202607;410840;4924614;05;;96;76;10;0
202607;410840;5373190;05;;36;34;6;6
202607;410840;6424341;05;;155;149;34;30
202607;410840;9164359;07;;2;1;0;0
202607;410840;9736654;07;;2;1;0;0
202607;410855;2588404;05;;10;10;0;0
202607;410860;2733609;05;;40;0;0;0
202607;410860;2735970;05;;79;65;10;10
202607;410870;2573318;05;;26;26;0;0
202607;410880;2810123;05;;59;49;0;0
202607;410890;2753839;05;;16;16;0;0
202607;410900;2921456;15;;4;4;0;0
202607;410930;2572443;05;;48;47;0;0
202607;410940;0213845;05;;147;137;10;0
202607;410940;2741989;05;;220;140;44;37
202607;410940;2742047;05;;168;144;20;19
202607;410940;3139301;05;;20;12;0;0
202607;410940;3403416;05;;8;0;0;0
202607;410940;8479275;05;;1;0;0;0
202607;410950;6732100;05;;14;14;0;0
202607;410960;2680807;05;;33;33;0;0
202607;410970;4053214;05;;51;51;0;0
202607;410975;2571978;05;;31;31;0;0
202607;410980;2729385;05;;103;68;0;0
202607;410980;2729504;05;;24;0;0;0
202607;411030;2753898;05;;11;11;0;0
202607;411040;2733145;05;;16;16;0;0
202607;411060;0936529;07;;6;1;0;0
202607;411060;2738171;05;;31;31;0;0
202607;411070;2517523;05;;9;0;0;0
202607;411070;2783789;05;;171;133;22;20
202607;411070;6473687;05;;14;0;0;0
202607;411070;9363580;05;;37;9;0;0
202607;411080;2733560;05;;20;20;0;0
202607;411095;2582627;05;;25;25;0;0
202607;411100;2582058;05;;21;21;0;0
202607;411125;4064607;05;;37;37;0;0
202607;411130;2753847;05;;17;17;0;0
202607;411140;2687089;05;;21;21;0;0
202607;411150;0163864;05;;70;60;10;0
202607;411150;2590182;05;;85;66;14;9
202607;411150;2590727;05;;92;61;27;21
202607;411155;5795079;15;;1;1;0;0
202607;411170;2781743;05;;18;18;0;0
202607;411180;2783800;05;;101;80;10;9
202607;411190;2729407;05;;29;29;0;0
202607;411200;2687038;05;;71;71;0;0
202607;411210;2573504;07;;296;296;0;0
202607;411210;5240085;05;;67;56;0;0
202607;411240;2733617;05;;19;16;0;0
202607;411250;2587777;05;;23;23;0;0
202607;411275;2781751;05;;31;30;0;0
202607;411280;2781719;05;;31;26;0;0
202607;411290;2781794;15;;14;14;0;0
202607;411300;2733463;05;;18;18;0;0
202607;411310;2573415;05;;23;23;0;0
202607;411320;0017663;05;;94;94;0;0
202607;411320;0025399;07;;20;18;0;0
202607;411330;2741873;05;;64;56;10;10
202607;411330;2742071;05;;65;58;0;0
202607;411345;2572257;05;;20;20;0;0
202607;411350;0684570;05;;2;0;0;0
202607;411350;2753545;05;;112;80;12;0
202607;411350;2753774;05;;31;31;0;0
202607;411350;2753987;07;;51;51;0;0
202607;411370;2550792;05;;417;180;56;22
202607;411370;2577623;07;;191;137;32;17
202607;411370;2577755;07;;24;0;0;0
202607;411370;2577763;05;;115;105;0;0
202607;411370;2578409;07;;65;65;0;0
202607;411370;2578425;05;;4;0;0;0
202607;411370;2578468;07;;220;200;0;0
202607;411370;2578506;07;;12;8;0;0
202607;411370;2578670;05;;101;101;0;0
202607;411370;2579391;07;;50;50;0;0
202607;411370;2579561;05;;6;0;0;0
202607;411370;2580055;05;;324;178;67;43
202607;411370;2781859;05;;447;430;84;73
202607;411370;3114872;05;;8;0;0;0
202607;411370;3518094;05;;6;0;0;0
202607;411370;3599426;07;;10;8;0;0
202607;411370;4835220;05;;103;0;30;0
202607;411370;5301424;05;;19;0;0;0
202607;411370;6074502;05;;82;0;2;0
202607;411370;6528104;07;;13;10;0;0
202607;411370;7758391;05;;55;0;3;0
202607;411375;2590166;05;;21;19;0;0
202607;411380;2729415;05;;16;16;0;0
202607;411390;2554011;05;;39;33;0;0
202607;411400;0869899;07;;4;4;0;0
202607;411420;7250401;05;;54;47;0;0
202607;411420;9745106;05;;26;0;0;0
202607;411430;0017779;05;;50;50;0;0
202607;411440;2595265;05;;68;51;0;0
202607;411450;2588242;05;;33;33;0;0
202607;411460;4053907;05;;59;0;0;0
202607;411460;4582144;05;;26;5;0;0
202607;411460;7117485;05;;23;23;0;0
202607;411470;4442180;15;;1;1;0;0
202607;411500;2753928;05;;23;23;0;0
202607;411510;8025894;15;;2;2;0;0
202607;411520;0035149;07;;79;0;0;0
202607;411520;2586142;05;;88;67;17;10
202607;411520;2586169;05;;102;71;6;6
202607;411520;2586444;05;;72;1;7;0
202607;411520;2587165;05;;140;0;30;0
202607;411520;2587335;05;;204;182;44;32
202607;411520;2587343;05;;51;0;5;0
202607;411520;2594714;05;;302;182;64;34
202607;411520;2743469;05;;125;125;34;34
202607;411520;2743477;05;;125;103;13;10
202607;411520;2962403;07;;98;72;10;6
202607;411520;2972344;05;;66;0;8;0
202607;411520;4469453;05;;11;0;0;0
202607;411520;4936515;05;;21;0;0;0
202607;411520;6030750;07;;14;1;0;0
202607;411520;6466265;07;;8;4;0;0
202607;411520;7264593;15;;70;0;0;0
202607;411520;7898630;15;;14;0;0;0
202607;411520;8072515;05;;100;49;8;0
202607;411520;9365230;05;;189;13;39;0
202607;411550;2572265;05;;21;21;0;0
202607;411560;2588188;05;;46;40;0;0
202607;411570;2557207;05;;10;10;0;0
202607;411580;2582716;05;;104;60;10;3
202607;411580;4792483;05;;46;38;0;0
202607;411600;2729474;05;;10;10;0;0
202607;411605;2575957;05;;43;38;0;0
202607;411620;2687119;05;;18;18;0;0
202607;411670;2573172;05;;38;34;0;0
202607;411680;2733358;05;;21;21;0;0
202607;411690;2774216;05;;40;40;0;0
202607;411695;2587645;05;;13;13;0;0
202607;411700;2568926;05;;16;14;0;0
202607;411710;3452263;05;;34;32;0;0
202607;411720;2738228;05;;8;8;0;0
202607;411722;2810018;05;;19;12;0;0
202607;411727;2587823;05;;50;50;0;0
202607;411750;2781832;05;;26;26;0;0
202607;411760;2738287;05;;101;100;10;10
202607;411770;2686929;05;;42;35;0;0
202607;411790;2810069;05;;20;0;0;0
202607;411790;4054695;05;;60;60;10;10
202607;411820;2687127;05;;141;116;35;10
202607;411820;3227561;05;;11;0;0;0
202607;411820;3560430;05;;21;0;0;0
202607;411820;4607252;05;;14;0;0;0
202607;411820;5248043;05;;49;0;0;0
202607;411830;2753855;20;;6;6;0;0
202607;411840;2753685;05;;5;3;0;0
202607;411840;2754002;05;;27;0;0;0
202607;411840;2754738;05;;212;172;32;30
202607;411845;2810026;05;;20;20;0;0
202607;411850;0017868;05;;154;107;23;20
202607;411850;0017884;05;;135;104;20;20
202607;411850;5069149;05;;12;0;0;0
202607;411850;7759967;20;;14;0;0;0
202607;411890;2738198;05;;21;21;0;0
202607;411910;0935662;05;;64;61;0;0
202607;411915;0018090;05;;42;37;0;0
202607;411915;0018260;07;;160;160;0;0
202607;411915;0018333;05;;103;73;20;0
202607;411920;4054954;05;;27;27;0;0
202607;411940;2687046;05;;18;18;0;0
202607;411950;0018368;05;;84;84;0;0
202607;411950;0018384;07;;400;400;0;0
202607;411950;6940943;07;;60;0;0;0
202607;411950;7707924;07;;100;0;0;0
202607;411960;2742098;05;;95;82;0;0
202607;411970;2753782;05;;12;12;0;0
202607;411980;2584832;05;;43;36;0;0
202607;411990;2686791;05;;153;92;20;12
202607;411990;2686945;05;;106;94;0;0
202607;411990;2686953;05;;175;114;31;22
202607;411990;3658287;05;;62;5;10;0
202607;411990;5833418;05;;127;0;38;0
202607;411990;6542638;05;;330;317;49;36
202607;412000;2729423;05;;31;31;0;0
202607;412020;2753952;05;;10;10;0;0
202607;412033;2729482;05;;12;12;0;0
202607;412035;2584573;05;;40;40;0;0
202607;412050;2729431;05;;10;10;0;0
202607;412060;2742012;05;;67;60;0;0
202607;412060;2743388;05;;78;65;10;0
202607;412070;4055470;05;;28;26;0;0
202607;412085;4611713;15;;1;1;0;0
202607;412090;2572818;05;;47;47;0;0
202607;412100;2753960;05;;28;27;0;0
202607;412120;2817667;05;;25;24;0;0
202607;412130;2577534;15;;16;16;0;0
202607;412140;4935225;05;;31;31;0;0
202607;412150;2554097;05;;56;52;0;0
202607;412180;4055683;05;;54;51;0;0
202607;412190;2582465;05;;53;51;0;0
202607;412200;2554429;05;;56;53;0;0
202607;412220;0018600;05;;28;28;0;0
202607;412230;0018694;05;;41;31;0;0
202607;412240;2727250;07;;157;157;0;0
202607;412240;4055748;05;;78;78;0;0
202607;412240;5539900;05;;10;0;0;0
202607;412250;7070179;05;;32;32;0;0
202607;412260;2733315;05;;32;28;0;0
202607;412265;4075080;05;;20;20;0;0
202607;412290;2781778;05;;16;16;0;0
202607;412300;8347786;05;;24;24;0;0
202607;412310;8101906;15;;4;4;0;0
202607;412350;0854646;05;;25;25;0;0
202607;412350;4805011;05;;25;25;0;0
202607;412370;2753766;05;;27;19;0;0
202607;412380;2583712;05;;50;50;0;0
202607;412390;7278608;05;;40;40;0;0
202607;412400;2781786;05;;20;20;0;0
202607;412410;2781816;05;;93;70;0;0
202607;412410;3316300;05;;92;92;20;20
202607;412420;2753863;05;;10;10;0;0
202607;412430;2568586;15;;10;10;0;0
202607;412440;2585057;05;;29;24;0;0
202607;412460;2753944;05;;20;20;0;0
202607;412470;2577496;05;;20;20;0;0
202607;412490;2753936;05;;17;17;0;0
202607;412500;5412293;05;;22;22;0;0
202607;412510;2686813;05;;25;25;0;0
202607;412535;2665352;05;;24;24;0;0
202607;412540;2781824;05;;18;18;0;0
202607;412545;4056264;05;;22;8;0;0
202607;412550;2753278;05;;133;133;20;20
202607;412550;3073300;05;;64;0;0;0
202607;412560;2549751;05;;50;38;0;0
202607;412570;0462799;05;;160;111;20;0
202607;412570;6657885;05;;30;30;0;0
202607;412580;2573466;05;;26;24;0;0
202607;412600;2577240;15;;8;8;0;0
202607;412620;2582597;05;;31;31;0;0
202607;412625;2825589;05;;221;159;52;40
202607;412640;2577445;05;;23;23;0;0
202607;412650;2729563;05;;16;16;0;0
202607;412660;2783797;05;;54;35;0;0
202607;412667;2729520;05;;16;16;0;0
202607;412670;2753901;05;;15;15;0;0
202607;412700;2557185;05;;5;5;0;0
202607;412710;2740435;05;;138;108;12;10
202607;412710;7442157;05;;110;100;10;0
202607;412710;9760318;05;;46;8;10;0
202607;412720;2334755;05;;34;32;0;0
202607;412720;2567466;05;;32;32;0;0
202607;412730;2753804;05;;33;31;0;0
202607;412750;2740567;05;;16;16;0;0
202607;412760;0019194;05;;19;19;0;0
202607;412770;2809532;05;;97;0;0;0
202607;412770;2809990;05;;32;0;0;0
202607;412770;4056752;05;;212;140;37;30
202607;412770;4330919;05;;69;59;10;0
202607;412770;7781237;05;;8;0;7;0
202607;412770;8149607;07;;1;0;0;0
202607;412780;4057058;05;;57;51;0;0
202607;412785;2738201;05;;34;34;0;0
202607;412788;0019208;15;;6;6;0;0
202607;412790;2783819;05;;19;19;0;0
202607;412796;2741962;05;;49;49;0;0
202607;412800;2733633;05;;55;51;0;0
202607;412800;3024571;05;;51;0;0;0
202607;412810;2594358;07;;156;150;0;0
202607;412810;2594366;05;;123;86;19;13
202607;412810;2679736;05;;129;89;30;30
202607;412810;3005011;05;;127;93;26;22
202607;412810;7845138;05;;240;183;20;14
202607;412820;2568292;07;;126;33;0;0
202607;412820;2568349;05;;70;56;10;9
202607;412820;2568373;05;;110;61;23;16
202607;412840;2582066;05;;31;31;0;0
202607;412850;3134423;05;;52;51;0;0
202607;412855;2573032;05;;27;26;0;0
202607;412860;2586096;05;;21;20;0;0
202607;412863;2681579;15;;4;4;0;0
